Hun-Eng 30/29 = 96%.
Hun-Eng 30/27 = 90%.
Hun-Eng 20/18 = 90%.
Eng-Hun 20/19 = 95%.
Eng-Hun 20/20 = 100%.
Eng-Hun 20/16 = 80%.
Eng-Hun 30/23 = 76%.
Hun-Eng 30/25 = 83%.
Hun-Eng 50/38 = 76%.
Eng-Hun 100/98 = 98%.
Eng-Hun 100/95 = 95%.
Hun-Eng 30/23 = 76%.
Hun-Eng 30/21 = 70%.
Hun-Eng 20/14 = 70%.
Hun-Eng 20/15 = 75%.
Hun-Eng 20/17 = 85%.
Hun-Eng 20/20 = 100%.
Hun-Eng 20/18 = 90%.
Hun-Eng 20/19 = 95%.
Hun-Eng 20/18 = 90%.
Hun-Eng 20/19 = 95%.
Eng-Hun 20/15 = 75%.
Eng-Hun 20/19 = 95%.
new words recorded :17 2021-04-20
new words recorded :47 2021-04-20
Eng-Hun 30/15 = 50%.
new words recorded :54 2021-04-20
Eng-Hun 20/11 = 55% Quiz end date: 2021-04-20 18:57:54.905
Eng-Hun 50/26 = 52% Quiz end date: 2021-04-20 19:06:24.400
Eng-Hun 100/52 = 52% Quiz end date: 2021-04-20 19:23:18.928
Unlearned Eng-Hun 5/1 = 20% Quiz end date: 2021-04-20 20:10:18.233
Unlearned Eng-Hun 30/16 = 53% Quiz end date: 2021-04-20 20:44:03.044
Unlearned Eng-Hun 50/27 = 54% Quiz end date: 2021-04-20 20:50:53.178
Unlearned Eng-Hun 30/22 = 73% Quiz end date: 2021-04-20 20:55:50.854
Unlearned Eng-Hun 30/24 = 80% Quiz end date: 2021-04-20 20:59:08.435
Unlearned Eng-Hun 30/24 = 80% Quiz end date: 2021-04-20 21:03:10.173
Unlearned Eng-Hun 30/22 = 73% Quiz end date: 2021-04-20 21:07:26.005
Unlearned Eng-Hun 30/23 = 76% Quiz end date: 2021-04-20 21:12:27.142
Unlearned Eng-Hun 30/19 = 63% Quiz end date: 2021-04-20 21:16:13.192
Unlearned Eng-Hun 30/23 = 76% Quiz end date: 2021-04-20 21:19:31.288
Unlearned Eng-Hun 100/83 = 83% Quiz end date: 2021-04-21 11:39:22.324
Unlearned Eng-Hun 50/34 = 68% Quiz end date: 2021-04-21 12:44:54.093
Unlearned Eng-Hun 1/0 = 0% Quiz end date: 2021-04-21 13:33:44.475
Unlearned Eng-Hun 100/88 = 88% Quiz end date: 2021-04-21 14:04:27.107
Unlearned Eng-Hun 30/27 = 90% Quiz end date: 2021-04-21 14:08:37.606
Unlearned Eng-Hun 3/3 = 100% Quiz end date: 2021-04-21 14:11:54.013
Unlearned Eng-Hun 20/19 = 95% Quiz end date: 2021-04-21 14:18:51.038
Unlearned Eng-Hun 1/0 = 0% Quiz end date: 2021-04-21 14:21:02.447
Unlearned Eng-Hun 1/0 = 0% Quiz end date: 2021-04-21 14:25:30.311
Unlearned Eng-Hun 1/0 = 0% Quiz end date: 2021-04-21 14:26:16.768
Eng-Hun 100/3 = 3% Quiz end date: 2021-04-21 14:26:33.034
Unlearned Eng-Hun 3/0 = 0% Quiz end date: 2021-04-21 14:33:37.420
Unlearned Eng-Hun 3/0 = 0% Quiz end date: 2021-04-21 14:54:48.463
Unlearned Eng-Hun 3/0 = 0% Quiz end date: 2021-04-21 14:57:04.628
Unlearned Eng-Hun 3/0 = 0% Quiz end date: 2021-04-21 15:00:42.661
Eng-Hun 100/89 = 89% Quiz end date: 2021-04-21 15:28:12.005
